text,label
choor kasuri choor jhootay ka moo kaala,0
nawaz khanzaaney ka moun khul chukaa hai sab kha rahy han,0
bongayyy tren actorz ko apas main milwayee gi :d :d,0
bozdil ha amrica,0
" "" aj to main bhee kahta hoon ya drama ha .... sorry waqas sahab ... bilal lishari ki apni soch ha kahan 16 crore ke waar or kahan 50crore ke yalghaar .. pesa hi zaya keya ha ... dil torney kelia thanks "" ",0
# sahil _ jaan bhai 1 fault hai es men ye cloud downloading ni krta,0
( s i a s a s a t ) wo bhi pakistani jhoti siasat musalman ko munafiq bana deti hay .,0
( hgj ) pic clear nhi nazer a rhi bari pic 2t kro phir. maza nahi aaya,0
.. in k han koi kutta b marry to ilzam pakistan py he lagaty hai in sy kia takra ..,0
. iss tarah tau dr . aasim ki tarah imran khan ko bhi gariftaar karna banta hy .,0
. in zar paraston ne tu zinda awam k sath sath lashon k bhi saudy kiy in jahilon ko ab jo bhi vote dega woh bhi ahmaq hoga,0
. plz achy bating krna .... agar app jldy out ho jao to dill toot jta hh ... mujhay pata ha achi karo gy to nahi,0
1 originally 2ted by insafseeker kabhi research ker kay dekhna jaati umrah kaisay bana tha aur afzal khokhar malik shafi khokhar aur rauwind k mpa mna kaisay kaisay qabza ker k zameen dilwatay thay tao islamabad ki kachi abadian mamoli baat laga gee,0
1 ghanta agay karnay say kuch nai hua bal kay insan ko pareshaniyan uthani pari .,0
1 hi recipe bar bar .. toba,0
1 niwala lene ke baad hi pani mangna parta hai . mujhe laga ke gosht pe masala bohot ziada lag jata hai jise ki waja se aisa bura hota hai . baki sabzi waghera ke sath ye shikayat nahi aai .,0
"10 lakh choren , 5 din show ni chalay ga to kitny hi lakh jaeyn gy",0
10 min me windows ye kesy mumkin hai zaror ye jugar hoga or jugar me nuksan he hota hai no way !!!!!!!!!! i will never try that,0
10 saal guzarnay kay baad drama boring hogya hai . dono larkiyan bari ho ker kuch zyada overacting ker rahi hain kyunkay script kaafi kamzor hai . jab aik chhoti si kahani ko zabardasti khench taan ker lamba kya jata hai to ye hashar hota hai .,0
100 % truewo kapil idiot intehai bongayyyyyyyyyyyyy treen jokes krta aur stupid usi jaisayyy indianz ko hansi b ajati hai lolz,0
12000 qeemat hojai sub qmobile ki tareef karenge wo isliye ke is mobile ki asal jaga wo hi he .  ,0
150 bacho ko uae le ja k ehsan nahi ker rehe tumye kisi ka project tha tune bas apna nam show kia,0
150 bundy mulby taly daby hue heen ye bc reham pe program kar raha hee,0
